ssad11,"['44d8104c5438c76c991099833e02ef363033cb41', '88d26448db515963b881f0b5a2061dcf488f7e8b', '4c10519a35efaf2fc8a6119ea9d89ed53be3a6e5', '769c42db59691e58ea1ff29d9854d54043925171', '24ecfe5eb980243fd73c5bc0055870d53dc94fd4', '8b0ee593ea4fffa1f34eb6b063c532901f913d07', 'd1c6a6dac8a31019d03e4edec3d5895e710fca88', '471d4c1616ddd5008ab67ef38b9b4600e6ea896f', '040ebb7aa27b92289678134c116c614706640e7b', '5e483c94dd0981c08ded816243e25bc55b32ee51', '4034335fe9cfaa82d99ed111e708ac3383d14599', 'a0da78ba71d633e10fefaf3ca6428329e5656d66', 'a7f731ca8d952cf9c5a915fbc2a0028840035ca1', 'f8a8b9921a63ebc41a4d02404e687c7c5ab7c43d', '3e13ba332e4b9c85dd1499973861d37f09676f74']"
ssad12,"['0f4c8bb17bce382ed76c1db3ac44896e4d1b66bb', '7e11401056aa7b195bfb2199cd054a8b03517e35', '2a74fa8204e70a91e95b9553e770d3d086bc00d3', '3eb55796e21ed2f8ae6a563427bf2a41deabfc31', '05a4ca5cece12475f5e56077d6eaedff8fd817ab', 'c2aeb5282099a8d6e3c8a079cf3ca64b1af4d5e8', 'ca8f386b5eb1f5f7ad25a466d754ae3d52138c77', 'b376e6ab8a1b2e4b8f817a44b603e98451f32440', 'a68e6543c54625f974f19cf69b297b36d6355228', 'c0ebf5818506b643a38ae555667fdaf5b8552585', '1e992bb023f17c16e412ebc22551676c2c152887', '796be8f9a4a0aa7cfda3f5645b5c283171244285', 'f80583fdaba74fb64be9201726638efc689bd956', 'f96a5fcde52df951d9ccccc14c22ecd04a245af5', '2da821c2e83918f62540518740038bc1f32eb5f2']"
ssad13,"['c823d5f863799ed6ad68a6d228620fb4e2106a8f', '0d29cb84e61a5190acb5a245538333319013ea96', '60600e3bb630b8a6f17601c46c0ea4c9cbf67288', 'a3042e9965e380d7c4ec42b76022c1e0c55fafd6', 'ef4559045e345811c93afc3387a86728c3a0df89', 'ddadeb7a43fa9bba7a47a16801574572b473c23d', '0d903d0057e8897e9ebc081e95c9253e5d724d66', 'c8b1926342a4c1a6a3a03b57a06b3d3f39089d2d', '37730dcd266f5113a406bb375f8894b146e6f61a', '2e6034f9482b05f7934245e1ba76513cf0a54196', '854877315a324bd2f4b954f20281c3d8bbfad214', '3960eefadcadcd18b0fd7c4914b75d3be4d151a3', '925b13ae32f63a43710497c37a87d797bcb716c8', 'f3acf3969879ec4d18598795c9807be2a395db40', '2a939b272bda3ba0fac8aa75838c9ef988bc4422']"
ssad14,"['dc0ca20a1df2645c70440af1914a997115fba1d5', '9b2b38a7b081d72901183158298c72c3d81234ad', 'f0d5be2e83346c27629ef0ee9776d647c1d46a52', '609d9beaac206f67a5daeb35e1d3e47b69f11c79', '588bf98f75843c3f70d3cc8a3add6e09ddb004f4', '435649b1583627b1eb8e476828cb6e0d3da76181', '866ab36faed2226b20a9e17e89903affa6f04875', '7a81a9ed4d1640c76f0192a7a8228418c99c1f86', '4e9993b710675fef6ba8d956f81545dffa8000dd', 'b272b95948f793d4c7a46fb1a32225e23caa128b', '4d0877630a0aebafc7737b33d6659a449ae9544c', '815127740c0ec1fb33ef43990f2bbe293701fa5d', 'd8b764fa57b4074717db36dc671c3a39c20a4d60', 'e4bfaa17381157d61010c670aca288eabd33ea5d', '482db2853d960f841bf8bec3ce508932498e7ce2']"
ssad15,"['5dee72e93d712aa75db3321a44f9729bace117a3', '71e7c001a52244120ddf76a7899bed8718180ce0', 'cd73dcb36ac1933088051fa3fe7b984b5fda3451', '2afc79b4eb844878023ca9ff1715ccd99d26dd1c', '8147334e1a878c14450b619449a37bf0b2374d84', 'a790eb4493b60948b702e276ab75983974c5d833', '53cfd01ef3a20754689422ce37bdc1d93665c3d2', '49a599e11ebdd9d67f21740ef849714b3540cd0f', '17381fbdcbf900e58e8a0bad554972821386c28b', '70cdf63f4309a8f300acac9fe5ead907fb5f90dc', '589c9561be5a8a3dd368101910d5055e3d133ae4', '0579950d23f76f1d24b390d9ccd6129f29f6658f', 'df0ff2435dc74bc80561acdaa2c4c50355d69a10', '2c876941cf7083275e22f0b47786f9047e1a0c69', 'e07d7c58b054a3b6c939724267dcc2065b2c52f7']"
ssad16,"['2ce5f9730b973a97672d104e2d17f0bce8425d93', '73653f06e51ddd227e8c5eb19ee1214ae05adc4d', 'd5eadcdba4fe8f59f8967d3f209389510d1fdec2', '1929d583398aa155d214462e0ea615e9965b2a34', '8958b7ee78467e2c95606ce64cb7c46fe68c8609', 'f7a6a98123718953b9920627eee6b42a76954914', '9979f690def5167f10228647461a5c3dda4f3c8c', '4d54a78fb9647b5b8e3983da5e6b45c83ead1683', 'a70cfe109f980543eff742f101ef251fb5258f24', '11b12b80d4a36ed69472437a68a257b124f5dc9b', '4601a7571330d55b80dee353e05a7a363cbd0bf1', 'b29bc3c6a4dc8c0ca39835230ca4cff2d1087888', '9aa17e58662cf5652fa565d14c17198bd1a4fbc5', '327d6281811e739d70b0341d673fe6922678d41d', 'be5fe686be2383639d8b5cf06b14ad1fbb25111b']"
ssad17,"['31aab7570150703ecc9dfc2d6ee370df94a8bac6', 'cce856e2c091626b3ed4fe24b80ebe174712ef95', '4bbcac73699756a8dc252572e7ba07e8b65224bc', '9b02d73d094d9745b266b2a9d71a6a38e2ef45e8', 'ad25e79e1dc2744add93688f0f940558a2e88b09', 'fd94045119097bb649c961a59f4aa533beb3537f', 'c9b5a8bf960be7d420369d42ede58b7fd0bad0ce', 'bd6920954260f1113d3eef76eae5e2dbeca0aace', 'ec65029f610da1eca7da31f1e8697baf50ecba19', '57d5856d6d14cdfa5405cf8f11c101f6d9224a4c', '9079ae30273918346a0cdf914553820942fe8dc6', '600727bc17d25f52147ae428cb1dbee23a3ef779', '230466b7eb51958f0450e0900bcee09918331c12', 'd3bdb77370521713839a93b754363fa8f66293a4', 'de4b83df6a6df93556ff084db6caed2f81f67b62']"
ssad18,"['463d96e4b951fa026d17540a74eab004c84b4498', '118160da9321e585c6b60b59c5b123612823a98d', '2e1cc90026b4cee29d5bb165ab7d5583e59d66d0', '966f64b16f2a344e44d181751132607bf126556b', '41aa11fb91458b84c0258a15b60d1526d141da8a', '181436167a259967739854e99bfaa27b8fa4fa4b', '4946ce3ab92cc45a4834e8d06eb746d3a43f26c4', 'e1324de0cae2173e430bea7b11ce8adeb4fdecbb', 'f3b69fda2752ec733552e11678e16b8f856551c5', '15b12543d80fc27df1c99fab4ca720a1403a1fb2', '93a3cd49063bb05180f31c0a62dabea05ab78363', 'd985b748f564534ccd0e6891bf2f96012cc9568b', 'e0281c80f74e82281b80da91b240d8127f5b95f2', 'c92a9f67d74a89ceaa55b6c0675128187073d232', '9d4bb4cbecf0221e9fa67484b697c8711f025152']"
ssad19,"['410785d5a5a9781fa71adb1b3ae5c2510f2b894c', '0ebea2a04e1f4e112578762fe32f14e5e55e3f9b', '17761bfeb5950a506665c4369dc65d0f9e136152', 'dd979f200197d65df440a02c67d66493ab955c28', 'cd4588b3fd0b6e46ff2331aa40029a77fb5a4da9', '2392a8906ed070e23a55290aa1ead2f750dce314', '664be84dba996b319d0fe27d63871d087fa37c40', '70375ac9d2ab9eaf2c782645510136692be8f4a1', '2ee5ee76e001b0681d2e12779f0865ca14c17daa', '3f7955d8b97384446a410e0422e57b9bb7a6bebc', '87c40ea5be150f3c774976c3963b3b5620c51c3e', '34b3e8b9576ad5072fa70da88bf97bc15a0b6a2c', 'd01ba429ff920dd5925a3471553f99c8fde4b65a', '7eaadef0358427da69ecd8fe6f0a359116081d66', 'b573b13a892a3b64501dfa3d7ce178a3d3516fef']"
ssad20,"['83b65e00987de75ed223b3281a300cc5bc2e8f57', '7a42bf8e788e5904ccfeb9373b741915d3725535', 'bfd2f85a32ac62030fc70621c0e65e61d4754e76', 'e4841b39083a19c8776a6e0ef7738f18dd4e1232', '2e91c658dd34b5744b5cd07d00329f40416384b4', '121c5e222ff76b998444320215bdb5d5f8dac16d', '249655b0d3a40cc0c008768cfa7cf83c7e9550ce', '7c6f633d3f9cd18a78c5649898fb382efda37eeb', '5e80a9269fb1fdd662d9fa546df85374d68a6b41', '622aae9c41b54a7a5a736125f7a4db5a9e850ba9', '759ef198689d01253a2774d620f47e98298477c4', '81866e70cf144bf98be0ef03c555e111aa981488', 'e872644e60362e3a9720ec03fc1ee287b33f0c71', '21439bd661a475f3a13c21629310c9606362d7f2', '700ba0ece9e1662d1b1e9ae9325632d454345a6a']"
ssad21,"['100c27bcaf47b1d515a55ee453d88619133cc53a', '2f0bbe868a53ed56b3c5acdad22f4b1cafc86885', '8708e99615c54391d6c8bb9aee91883e1f82e7f2', '28efca94103f9253edb273c745a1170c55d8c875', '56f445fb2619cdab80d00d9ee1a1c70fdc65145f', '49d6b7eab32d855aa9fcef1343047d0dee3e4eed', 'b7b576d036e2d53fe772101fecad2f24a55a34e4', '1adafbac94883313809ba7ab23e6e7bded3d26eb', 'fd1cbed78c452086323e5834f356146a9faf0b39', '6ea2141e87ae2cdc30e1c1b4da8690825b5a2d80', 'adee2463c6d83d811de1fb0899fe2fdce219aabf', 'fd67c6f3bd419f4a2d7cc0f35f2f4f3f9ec89493', 'd7fa30f26f95301d69fce5028306523facc62cf9', '21218ba225e58000f1f0610bdd709722c018a8e3', '4ea165ad3c8f40a993027a53f4fd28165ac4ce7c']"
ssad22,"['10296ce3924dea99114404dfa204a3dfde4cff81', '3f359fb1284ccf2b766f5275e2f4b0c77a3a53c0', '72e14f94da1d5c1269e437c34a83803f5bd7907c', '968e7eb916f4852c7193315b50004bc5f6836c34', 'f0a7893eee90450c25ae47472c2500791c2c5439', 'e510038c37f8b9f7216d6566295f4aa039176ea6', '52a3c695ab0c91e08ca783c8ae23a33b5526ecbe', '1c61bd13f846f2234634ab3653ece346de881499', 'bdaf6b0e91a4fb7f1bf51c3eab99d74a7e0b8c24', 'd391d6892d26d461834c605b5cb71cecede869a1', 'ffea99a7af2b67de17954f1ac939c41278ef2bdf', '9732c046bb8c9e21b435f3c20d7a4e47ada23509', 'e9236580a6fcf987907266a90a6d83dfe27f4832', 'a79c11de447c3aa34c4ddcd1fe3457fa27b7a88e', '7a484fa851194ae70674d7cf2214b25df6f945be']"
ssad23,"['fe1b7d68baf0178b0d6dad03c4c8c5e96a53cf62', 'e09e1a125ef2544d9c353b2000899198fde8572d', '5fa3773588664894ef34214ce05253b4b40f9dcc', 'fa1cb1140a37bace866755bf0dff87d9cbea5f3c', '341fe46495f444ee80ea935f7c0e93f3032e91ce', '760031df44cb1ac4553c2767b3d07c1eb5027b77', 'afbe165670c32fbaafd146e0d49baabb63608c63', 'b5f3dd972078f0d6e250f5cc13c29ea03c848f83', '0c10d549e329c2552ba2117f7dbe81e83b0b7db9', '3043269f4534b7408a4677d3c3bb186b33b4025f', 'e9822b7bc528232218255787376a09802c211f4f', 'c067d03cb3082bfa455184b572dfbfcb63c42c7e', 'e81e09946310e2dfae94cdb1f74a69dd5a54940f', '954400610eb5ad3eba0925caa0d5aa7147dd5341', '420a322d8e26e0807753b464ff487c85ec23a895']"
